product,name,description,availability,sku,price,year,name_for_matching,collection,keshi,metal,category,pearl_type
baroque-pearl-strand,Baroque Pearl Strand Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl strand featuring twenty-six 12-14mm baroque pearls. 45.2cm choker length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl. GIA certificate available. The ultimate icon of individuality this meticulously matched baroque pearl strand is an original expression of creative flair. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps. NA",NA,SCPQ1214005,30800,2017,baroque-pearl-strand,Strand,FALSE,Other,Strands,Unsure
baroque-pearl-studs,Baroque Pearl Stud Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl ear studs featuring two 12mm baroque pearls set in 750 yellow gold. Asymmetrical allure. The abstract shape of these baroque pearls on their simple stud setting strike the perfect balance between originality and modern style. NA,NA,C00E41YPQ12,2580,2017,baroque-pearl-studs,Other,FALSE,Yellow gold,Earrings,Unsure
baroque-pearl-swap-13mm,13mm Baroque Pearl Swap | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 13mm baroque pearl with 750 yellow gold mechanism. A lustrous baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascades available separately. NA,NA,C00L01YPQ13,2080,2017,baroque-pearl-swap-13mm,Other,FALSE,Yellow gold,Necklaces And Pendants,Unsure
baroque-pearl-swap-15mm,15mm Baroque Pearl Swap | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 15mm baroque pearl with 750 yellow gold mechanism. The abstract appeal of a baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascade available separately. NA,NA,C00L01YPQ15,3080,2017,baroque-pearl-swap-15mm,Other,FALSE,Yellow gold,Clasps,Unsure
baroque-pearl-swap-17mm-white-gold,Baroque Pearl Swap Clasp | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 17mm baroque pearl with 750 white gold mechanism. A single large lustrous baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascade available separately. NA,NA,C00L01WPQ17,7380,2017,baroque-pearl-swap-17mm-white-gold,Other,FALSE,White gold,Clasps,Unsure
baroque-pearl-swap,15mm Gold Baroque Pearl Swap | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl swap featuring one 15mm baroque pearl with 750 white gold mechanism. The abstract appeal of a baroque pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express stunning originality. Nitrile chord and cascade available separately. NA,NA,C00L01WPQ15,3080,2017,baroque-pearl-swap,Other,FALSE,White gold,Clasps,Unsure
baroque-strand-bracelet,Baroque Strand Bracelets | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl strand bracelet featuring twelve 13-14mm baroque pearls, identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl. The ultimate expression of femininity, this unique baroque strand bracelet shows a woman's individuality. A unique clasp mechanism enables you to instantaneously personalise this strand bracelet with any one of Paspaley's jewelled interchangeable clasps. NA",NA,SBPQ1314001,14800,2017,baroque-strand-bracelet,Strand,FALSE,Other,Bracelets,Unsure
bella-grand-pendant-white-gold,Bella Grand White Gold Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 15mm drop pearl set in 750 white gold. Chain available separately. Whether for work or weekend, this bold yet simple white gold bale will highlight your treasured pearl as the centre of attention. NA",NA,C00P02WPD15,3950,2017,bella-grand-pendant-white-gold,Other,FALSE,White gold,Necklaces And Pendants,Drop
bella-grand-pendant,Bella Grand Yellow Gold Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 15mm drop pearl set in 750 yellow gold. Chain available separately. Whether for work or weekend, this bold yet simple yellow gold bale will highlight your treasured pearl as the centre of attention. NA",NA,C00P02YPD15,3950,2017,bella-grand-pendant,Other,FALSE,Yellow gold,Necklaces And Pendants,Drop
cascade-chain-42cm-yellow-gold,Yellow Gold Chalif Cascade Chain 42cm | Gold Chain Necklace | Paspaley,"Paspaley classic chalif chain in 750 yellow gold with key ends, 2.7mm wide, length 42cm. Woven strands of yellow gold form this chalif chain which can be worn with your favourite Paspaley design clasp to create a unique necklace. NA",NA,C00C80Y2742,2460,2017,cascade-chain-42cm-yellow-gold,Other,FALSE,Yellow gold,Accessories,Unsure
